id,family,suggested_tier,suggested_audience,suggested_aliases,critical_candidate
ae-adapter-claude-code,ae,parent_router,parent,,false
ae-adapter-codex,ae,parent_router,parent,,false
ae-adapter-opencode,ae,parent_router,parent,,false
ae-adapter-pi,ae,parent_router,parent,,false
ae-aprendizaje,ae,optional,both,,false
ae-close,ae,optional,both,,false
ae-crear-politicas,ae,optional,both,,false
ae-crear-politicas-microservicios,ae,optional,both,,false
ae-decide,ae,optional,both,,false
ae-harness-manifest,ae,optional,both,,false
ae-learn,ae,optional,both,,false
ae-pre-push,ae,parent_router,parent,,true
ae-projection-audit,ae,optional,both,,false
ae-setup,ae,optional,both,,false
ae-validacion-evidencia,ae,optional,both,,false
ae-work,ae,parent_router,parent,,false
ae-worker-pi,ae,parent_router,parent,,false
buho-ai-proxy-codex-oauth,buho,optional,both,,false
buhosalud-brand-brief,buho,optional,both,,false
buhosalud-personalidad-guardrail,buho,optional,both,,false
ceo-maestro,ceo,parent_router,parent,,false
ceo-rol-comunicacion,ceo,bundle,both,,false
ceo-rol-edtech,ceo,bundle,both,,false
ceo-rol-estrategia,ceo,bundle,both,,false
ceo-rol-finanzas,ceo,bundle,both,,false
ceo-rol-ia,ceo,bundle,both,,false
ceo-rol-legal,ceo,bundle,both,,false
ceo-rol-marketing,ceo,bundle,both,,false
ceo-rol-productividad,ceo,bundle,both,,false
ceo-rol-rrhh,ceo,bundle,both,,false
ceo-rol-salud,ceo,bundle,both,,false
ceo-rol-tech,ceo,bundle,both,,false
ceo-rol-ventas,ceo,bundle,both,,false
ceo-tools-analytics,ceo,bundle,both,,false
ceo-tools-automatizacion,ceo,bundle,both,,false
ceo-tools-backend,ceo,bundle,both,,false
ceo-tools-comunicacion,ceo,bundle,both,,false
ceo-tools-databases,ceo,bundle,both,,false
ceo-tools-devops,ceo,bundle,both,,false
ceo-tools-edtech,ceo,bundle,both,,false
ceo-tools-finanzas,ceo,bundle,both,,false
ceo-tools-frontend,ceo,bundle,both,,false
ceo-tools-healthtech,ceo,bundle,both,,false
ceo-tools-ia,ceo,bundle,both,,false
ceo-tools-legal,ceo,bundle,both,,false
ceo-tools-marketing,ceo,bundle,both,,false
ceo-tools-marketplace,ceo,bundle,both,,false
ceo-tools-productividad,ceo,bundle,both,,false
ceo-tools-rrhh,ceo,bundle,both,,false
ceo-tools-salud-digital,ceo,bundle,both,,false
ceo-tools-ventas,ceo,bundle,both,,false
automate-whatsapp,comms,optional,both,,false
email,comms,optional,both,,false
integrate-whatsapp,comms,optional,both,,false
observe-whatsapp,comms,optional,both,,false
telegram-bot-builder,comms,optional,both,,false
database-schema-designer,data,optional,both,,false
db-cli,data,tool_infra,both,mi-db-cli,false
flyway-sqlserver-migrations,data,optional,both,,false
apple-design,frontend_design,optional,both,,false
claude-design-canon-port,frontend_design,optional,both,,false
frontend-design,frontend_design,optional,both,,false
frontend-developer,frontend_design,optional,both,,false
impeccable,frontend_design,bundle,both,,false
impeccable-adapt,frontend_design,bundle,both,,false
impeccable-audit,frontend_design,bundle,both,,false
impeccable-bolder,frontend_design,bundle,both,,false
impeccable-clarify,frontend_design,bundle,both,,false
impeccable-colorize,frontend_design,bundle,both,,false
impeccable-critique,frontend_design,bundle,both,,false
impeccable-delight,frontend_design,bundle,both,,false
impeccable-distill,frontend_design,bundle,both,,false
impeccable-extract,frontend_design,bundle,both,,false
impeccable-harden,frontend_design,bundle,both,,false
impeccable-normalize,frontend_design,bundle,both,,false
impeccable-onboard,frontend_design,bundle,both,,false
impeccable-optimize,frontend_design,bundle,both,,false
impeccable-polish,frontend_design,bundle,both,,false
impeccable-quieter,frontend_design,bundle,both,,false
impeccable-teach-impeccable,frontend_design,bundle,both,,false
improve,frontend_design,bundle,both,,false
improve-animations,frontend_design,bundle,both,,false
mobile-design,frontend_design,optional,both,,false
modern-web-guidance,frontend_design,optional,both,,false
opendesign,frontend_design,optional,both,,false
ui-design-brain,frontend_design,optional,both,,false
ui-designer,frontend_design,optional,both,,false
ui-ux-designer,frontend_design,optional,both,,false
ux-design,frontend_design,optional,both,,false
web-design-guidelines,frontend_design,optional,both,,false
dotnet10-deploy-guard,infra,optional,both,,false
dotnet10-native-aot-deploy-guard-oe,infra,optional,both,,false
ssh-remote,infra,tool_infra,both,mi-ssh-remote,false
mi-asistente,mi,tool_infra,both,,false
mi-asistente-aprendizaje,mi,tool_infra,both,,false
mi-cuenta,mi,tool_infra,both,,false
mi-cuenta-td-notas,mi,tool_infra,both,,false
mi-job,mi,tool_infra,both,,false
mi-key-cli,mi,tool_infra,both,,true
mi-llm-ollama-gpu,mi,tool_infra,both,,false
mi-lsp,mi,tool_infra,both,,true
mi-lsp-aprendizaje,mi,tool_infra,both,,false
mi-pi-docs,mi,tool_infra,both,,false
mi-telegram-cli,mi,tool_infra,both,,false
_shared,other,optional,both,,false
agentic-engineering,other,optional,both,,false
animation-vocabulary,other,optional,both,,false
apple,other,optional,both,,false
assessment,other,optional,both,,false
auditar-ux-ui,other,optional,both,,false
autonomous-ai-agents,other,optional,both,,false
brand-designer,other,optional,both,,false
buscar-productos,other,optional,both,,false
business,other,optional,both,,false
cargar-library-tedi,other,optional,both,,false
chrome-devtools-axi,other,optional,both,,false
claude-mantenimiento,other,optional,both,,false
code-reviewer,other,optional,both,,false
codex-agents,other,optional,both,,false
codex-mantenimiento,other,optional,both,,false
codex-mcp-setup,other,optional,both,,false
computer-use,other,optional,both,,false
conecta-dejar-registro,other,optional,both,,false
conecta-logs,other,optional,both,,false
cos-configurar,other,optional,both,,false
cos-operar,other,optional,both,,false
crear-alcance,other,optional,both,,false
crear-arquitectura,other,optional,both,,false
crear-capa-tecnica-wiki,other,optional,both,,false
crear-conformidad-solucion,other,optional,both,,false
crear-evidencia-solucion,other,optional,both,,false
crear-flujo,other,optional,both,,false
crear-handoff-assets,other,optional,both,,false
crear-handoff-mapping,other,optional,both,,false
crear-handoff-spec,other,optional,both,,false
crear-handoff-ui,other,optional,both,,false
crear-handoff-visual-qa,other,optional,both,,false
crear-hu,other,optional,both,,false
crear-identidad-visual,other,optional,both,,false
crear-intencion-ux,other,optional,both,,false
crear-journey-ux,other,optional,both,,false
crear-lineamientos-handoff-ui,other,optional,both,,false
crear-lineamientos-interfaz,other,optional,both,,false
crear-lineamientos-validacion-ux,other,optional,both,,false
crear-manifiesto-experiencia,other,optional,both,,false
crear-manual-usuario,other,optional,both,,false
crear-modelo-de-datos,other,optional,both,,false
crear-patrones-ui,other,optional,both,,false
crear-prototipo-ux,other,optional,both,,false
crear-readiness-solucion,other,optional,both,,false
crear-requerimiento,other,optional,both,,false
crear-resultado-solucion,other,optional,both,,false
crear-spec-ux,other,optional,both,,false
crear-spec-voz-tono,other,optional,both,,false
